Littleleaf Linden, Tilia cordata, 40.51280536414457, -75.78233806700139
Littleleaf Linden, Tilia cordata, 40.512845818907344, -75.7822960862321
Red Maple, Acer rubrum, 40.512913528863116, -75.78233344944157
Japanese Zelkova, Zelkova serrata, 40.512894645098854, -75.78243341543863
Japanese Zelkova, Zelkova serrata, 40.512851020128075, -75.78242336619488
Norway Maple, Acer platanoides, 40.51280562815564, -75.78249599100091
Japanese Zelkova, Zelkova serrata, 40.51272026300859, -75.78255542775354
Black Walnut, Juglans nigra, 40.51298399278613, -75.78250559412179
Red Maple, Acer rubrum, 40.5131017643391, -75.78248983477889
Red Maple, Acer rubrum, 40.513364175668414, -75.78272645832037
American Linden, Tilia americana, 40.51326428605065, -75.78287662631634
Colorado Spruce, Picea pungens, 40.51331089350179, -75.78282010047806
Colorado Spruce, Picea pungens, 40.513334989029666, -75.78280727374488
Colorado Spruce, Picea pungens, 40.513367691212785, -75.78280328546991
Littleleaf Linden, Tilia cordata, 40.513424723444345, -75.78285025874662
Colorado Spruce, Picea pungens, 40.513488942361995, -75.78287497690732
Colorado Spruce, Picea pungens, 40.513506591413254, -75.78292673433123
Flowering Crabapple, Malus spp., 40.51354090578686, -75.78298130727855
Red Maple, Acer rubrum, 40.51358465250964, -75.78292152555288
Colorado Spruce, Picea pungens, 40.51359519356784, -75.78308096616054
Littleleaf Linden, Tilia cordata, 40.51362512868869, -75.78309179980832
Yellowwood , Cladrastis kentukea, 40.513601368149274, -75.78315356097211
Yellowwood , Cladrastis kentukea, 40.51355504372362, -75.78320020555898
Silver Maple, Acer saccharinum, 40.51353389032211, -75.78327073417445
Silver Maple, Acer saccharinum, 40.513651916708106, -75.78297943872184
Red Maple, Acer rubrum, 40.513747880355005, -75.78306434970068
Eastern White Pine, Pinus strobus, 40.513757314067455, -75.7831492161545
Eastern White Pine, Pinus strobus, 40.51333433268818, -75.78334282444808
Serbian Spruce, Picea omorika, 40.51314515898419, -75.78361336125334
Serbian Spruce, Picea omorika, 40.51311273765206, -75.7836436819131
Serbian Spruce, Picea omorika, 40.51308483379869, -75.78366543601982
Littleleaf Linden, Tilia cordata, 40.51272970346282, -75.78328553248542
Littleleaf Linden, Tilia cordata, 40.51272534372856, -75.78334392549196
Spp. Hawthorn, Crataegus spp., 40.51293349725878, -75.78394649671841
Spp. Hawthorn, Crataegus spp., 40.512939019727504, -75.78400890137912
Littleleaf Linden, Tilia cordata, 40.512949347044255, -75.784094739356
Spp. Hawthorn, Crataegus spp., 40.512770589974, -75.78411909385439
Higan Cherry, Prunus subhirtella, 40.51268973846399, -75.78415050125368
Higan Cherry, Prunus subhirtella, 40.51268112912977, -75.78405975792435
Douglas-Fir , Pseudotsuga menziesii, 40.51224168080973, -75.7836992247864
European Filbert, Corylus avellana, 40.51245159912848, -75.78357130319675
Atlas Cedar, Cedrus atlantica, 40.51221166567987, -75.78330159361062
Spp. Hawthorn, Crataegus spp., 40.51217822075463, -75.78318522204914
Spp. Hawthorn, Crataegus spp., 40.51216323219271, -75.7831091291497
Littleleaf Linden, Tilia cordata, 40.512397805228005, -75.78277139224083
Littleleaf Linden, Tilia cordata, 40.51243653681834, -75.7827151708889
Colorado Spruce, Picea pungens, 40.51254889223776, -75.7829603261699
Japanese Sty Jp Snowbell, raxa onicus, 40.51246756193924, -75.78303850606196
Littleleaf Linden, Tilia cordata, 40.512555457201344, -75.78259364310557
Carolina Silverbell, Halesia tetraptera, 40.51270393401359, -75.78264793837229
Eastern White Pine, Pinus strobus, 40.512002962792394, -75.78313728113314
Eastern White Pine, Pinus strobus, 40.511977827859525, -75.78311736878901
Eastern White Pine, Pinus strobus, 40.5119578050191, -75.78307957448791
Eastern White Pine, Pinus strobus, 40.511944358145456, -75.78313092179351
Eastern White Pine, Pinus strobus, 40.51192203305939, -75.78310981576713
Norway Spruce, Picea abies, 40.51190967261059, -75.7831391018174
Norway Spruce, Picea abies, 40.51188177699499, -75.7831117990388
Norway Spruce, Picea abies, 40.511861053446964, -75.78310295786844
Mugo Pine, Pinus mugo, 40.511615088242536, -75.78330839197636
Colorado Spruce, Picea pungens, 40.5116833755616, -75.7832060402529
Ginkgo , Ginkgo biloba, 40.51183601054953, -75.78321302627518
Colorado Spruce, Picea pungens, 40.51204652026673, -75.78336727578572
Flowering Dogwood, Cornus florida, 40.512109028569384, -75.78344497456416
Norway Maple, Acer platanoides, 40.51212188582033, -75.78354306230236
Tuliptree , Liriodendron tulipifera, 40.51161638382256, -75.78377365583668
Tuliptree , Liriodendron tulipifera, 40.51148376830214, -75.78351268264458
Colorado Spruce, Picea pungens, 40.51152056566249, -75.78334449670496
Mugo Pine, Pinus mugo, 40.51154903628003, -75.78336670700618
Mugo Pine, Pinus mugo, 40.5115004498337, -75.78326195325978
Colorado Spruce, Picea pungens, 40.511336438798075, -75.78317356907728
Flowering Dogwood, Cornus florida, 40.511271009839824, -75.78308945770601
Norway Spruce, Picea abies, 40.51124621126067, -75.78299331688758
Colorado Spruce, Picea pungens, 40.51140427512937, -75.78290242728163
Norway Maple, Acer platanoides, 40.51147282082736, -75.78264483769769
Norway Maple, Acer platanoides, 40.51133438922783, -75.78277137968391
Flowering Dogwood, Cornus florida, 40.51244821765368, -75.78199052373306
Flowering Dogwood, Cornus florida, 40.51256885746102, -75.78210203950928
Flowering Dogwood, Cornus florida, 40.51267667494225, -75.78219929889116
Flowering Dogwood, Cornus florida, 40.51262480938493, -75.78226606107559
Flowering Dogwood, Cornus florida, 40.51258081439956, -75.78231465786416
